ticker,snapshot_date,price
RKLB,2026-09-03,63.02999877929688
SPCX,2026-09-03,148.38999938964844
SPY,2026-09-04,772.0999755859375
QQQ,2026-09-04,721.3699951171875
SPX,2026-09-04,7737.18994140625
TSLA,2026-09-04,357.3599853515625
NVDA,2026-09-04,233.7899932861328
IBIT,2026-09-04,45.025001525878906
AAPL,2026-09-04,323.0299072265625
AMZN,2026-09-04,258.0199890136719
TLT,2026-09-04,82.27999877929688
INTC,2026-09-04,94.66000366210938
IWM,2026-09-04,294.9049987792969
MU,2026-09-04,998.760009765625
MSTR,2026-09-04,140.44000244140625
MSFT,2026-09-04,503.7099914550781
GLD,2026-09-04,404.9750061035156
VIX,2026-09-04,14.109999656677246
ETHA,2026-09-04,18.529300689697266
META,2026-09-04,611.2349853515625
SLV,2026-09-04,59.30500030517578
NFLX,2026-09-04,81.19979858398438
PFE,2026-09-04,28.44499969482422
SOFI,2026-09-04,18.020000457763672
COIN,2026-09-04,185.8000030517578
GOOGL,2026-09-04,341.5840148925781
PLTR,2026-09-04,176.76400756835938
SHOP,2026-09-04,146.6750030517578
XOM,2026-09-04,160.05999755859375
AMD,2026-09-04,470.8299865722656
BAC,2026-09-04,62.369998931884766
FIG,2026-09-04,24.434999465942383
RKLB,2026-09-04,64.19999694824219
SPCX,2026-09-04,149.67999267578125
